,Nigogu,Daryhez,daapinzonch,fewilchesc,JorgeTorresC,anythinglord,criscapunal,dieguischa,Orloffyeah,SergioLopez40,DiegoAraque1207,olimita,yaochoal,Gavnic,Joacampora,Ozai98,nviverosb,Sariilan,Alekzu,vvargasd,biherrerap,bfprietoc,LauraMolina,Acreed21,Camiioo,frnkbs,Jfcastroh
Nigogu,0.0,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.0,1.0,0.0,1.0,1.0,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0
Daryhez,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
daapinzonch,1.4142135623730951,1.0,0.0,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0
fewilchesc,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
JorgeTorresC,1.4142135623730951,1.0,1.4142135623730951,1.0,0.0,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0
anythinglord,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
criscapunal,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,0.0,1.0,0.0,1.0,1.4142135623730951,0.0,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,0.0,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0
dieguischa,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
Orloffyeah,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,0.0,1.0,0.0,1.0,1.4142135623730951,0.0,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,0.0,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0
SergioLopez40,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
DiegoAraque1207,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,0.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.4142135623730951,1.0,0.0,1.0,1.4142135623730951,1.0,1.0,0.0,1.0
olimita,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,0.0,1.0,0.0,1.0,1.4142135623730951,0.0,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,0.0,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0
yaochoal,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
Gavnic,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
Joacampora,0.0,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.0,1.0,0.0,1.0,1.0,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0
Ozai98,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
