,anferoar96,StevenEsmar,dcastanedar,trickyjuggler,DaveValencia,csalfonsol,tres-xxx,buendiagon,DSFarfanF,jssanchezo,bsdiaza,casc3798,jsalcinar,Anvido,Jufcardenasmo,federgolo,serbatero,GabrielUnal,diefrodriguezcha,adcorredorm,jdgaitanf,pahigueraf,RafaelCruz15,gimg1859,jannMorenoJ,dahrojasca,FredyRosero
anferoar96,0.0,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.0,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,1.4142135623730951
StevenEsmar,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
dcastanedar,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
trickyjuggler,1.4142135623730951,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.0,1.0,0.0,1.4142135623730951,1.0,0.0,1.0,1.0,1.0,1.0,1.4142135623730951
DaveValencia,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
csalfonsol,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
tres-xxx,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
buendiagon,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
DSFarfanF,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
jssanchezo,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
bsdiaza,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
casc3798,1.4142135623730951,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.0,1.0,0.0,1.4142135623730951,1.0,0.0,1.0,1.0,1.0,1.0,1.4142135623730951
jsalcinar,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.0,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,1.4142135623730951
Anvido,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.0,1.0,1.4142135623730951,0.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,0.0
Jufcardenasmo,1.4142135623730951,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.0,1.0,0.0,1.4142135623730951,1.0,0.0,1.0,1.0,1.0,1.0,1.4142135623730951
federgolo,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.0,1.0,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,1.4142135623730951
serbatero,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
GabrielUnal,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
