username,hack id,repo name,time,climate dataset,extra dataset used,extra dataset list,google api,location,using JS,mashup,readme,good readme,chart,if use library,library list,error_raw,error_normal,tech_point_raw,tech_point_normal,tech_per,tech_detail,user_requirement,user_requirement_normal,user_requirement_per,user_detail,infovis,infoVis_normal,infoVis_per,infovis_detail,combined_infovis_raw,combined_infovis_norm,combined_infovis_per,novelty,novelty_normal,novelty_per,novelty_detail,total_raw,total_norm,total_norm_per
mdecloedt,honors0,IH-Project-2017-mdecloedt_webapp_phase3,Sun Nov 12 11:20:57 2017,1,2,"Zillow Home Value Searching API, Required Weather API, ",1,1,1,0,1,1,1,1,"angular,bootstrap,jquery,",0.0375,96.25,9,90,73.08%,"1,1,1,1,0,1,1,1,1,",4,80,96.15%,"1.0,1.0,1.0,1.0,0.0,",5,27.77777777777778,96.15%,"1.0,1.0,1.0,1.0,0.0,1.0,",9,39.130434782608695,96.15%,7,1.5555555555555556,80.77%,"3.0,1.0,0.0,;3.0,0.0,0.0,;",25,226.93599033816423,96.15%
Jordan-Loeser,honors0,IH-Project-2017-Jordan-Loeser_webapp_phase3,Sun Nov 12 11:20:57 2017,1,2,"Zillow Home Value Searching API, Required Weather API, ",1,1,1,0,1,1,1,1,"d3,jquery,",0.012544802867383513,98.74551971326166,9,90,80.77%,"1,1,1,1,0,1,1,1,1,",1,20,23.08%,"1.0,0.0,0.0,0.0,0.0,",4,22.22222222222222,80.77%,"2.0,0.0,1.0,0.0,0.0,1.0,",5,21.73913043478261,80.77%,8,1.7777777777777777,88.46%,"3.0,1.0,1.0,;3.0,0.0,0.0,;",22,212.26242792582207,80.77%
LukasMMarinovic,honors0,IH-Project-2017-LukasMMarinovic_webapp_phase3,Sun Nov 12 11:20:57 2017,1,1,"Required Weather API, ",1,0,1,1,0,0,1,1,"d3,bootstrap,jquery,animate,",0.040740740740740744,95.92592592592592,7,70,38.46%,"1,1,0,1,1,0,0,1,1,",1,20,23.08%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,23.08%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,23.08%,3,0.6666666666666667,46.15%,"3.0,0.0,0.0,;",13,179.63607085346214,38.46%
whipplem123,honors0,IH-Project-2017-whipplem123_webapp_phase3,Sun Nov 12 11:20:57 2017,0,0,,1,1,1,1,1,1,1,1,"three,",0.017391304347826087,98.26086956521739,9,90,76.92%,"0,1,1,1,1,1,1,1,1,",1,20,23.08%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,23.08%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,23.08%,0,0.0,0.0%,,12,201.30434782608694,69.23%
SionHu,honors0,IH-Project-2017-SionHu_webapp_phase3,Sun Nov 12 11:20:57 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,0.0%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,0.0%
jmamaril25,honors0,IH-Project-2017-jmamaril25_webapp_phase3,Sun Nov 12 11:20:57 2017,1,7,"Air Quality, New York City Farmers Markets, New York City Museums, Zillow Home Value Searching API, New York State Career Centers, School Safety Report, Required Weather API, ",1,1,1,1,1,1,1,1,"d3,jquery,materialize,",0.002257336343115124,99.77426636568849,10,100,96.15%,"1,1,1,1,1,1,1,1,1,",1,20,23.08%,"1.0,0.0,0.0,0.0,0.0,",4,22.22222222222222,80.77%,"2.0,0.0,2.0,0.0,0.0,0.0,",5,21.73913043478261,80.77%,15,3.3333333333333335,96.15%,"2.0,0.0,0.0,;2.0,0.0,0.0,;1.0,0.0,0.0,;3.0,0.0,0.0,;3.0,0.0,0.0,;1.0,0.0,0.0,;3.0,0.0,0.0,;",30,224.84673013380447,92.31%
lennwgs,honors0,IH-Project-2017-lennwgs_webapp_phase3,Sun Nov 12 11:20:57 2017,0,0,,1,1,1,1,0,0,1,1,"bootstrap,",0.020833333333333332,97.91666666666666,7,70,42.31%,"0,1,1,1,1,0,0,1,1,",1,20,23.08%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,23.08%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,23.08%,0,0.0,0.0%,,10,180.96014492753622,42.31%
viswapurdue,honors0,IH-Project-2017-viswapurdue_webapp_phase3,Sun Nov 12 11:20:57 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,0.0%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,0.0%
CampbellC2,honors0,IH-Project-2017-CampbellC2_webapp_phase3,Sun Nov 12 11:20:57 2017,0,0,,0,0,1,0,0,0,1,1,"d3,animate,ember,",0.0932475884244373,90.67524115755627,4,40,23.08%,"0,0,0,1,0,0,0,1,1,",1,20,23.08%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,23.08%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,23.08%,0,0.0,0.0%,,7,143.71871941842585,23.08%
noah-curran,honors0,IH-Project-2017-noah-curran_webapp_phase3,Sun Nov 12 11:20:57 2017,1,1,"Required Weather API, ",1,1,1,0,0,0,1,1,"animate,font-awesome,",0.008438818565400843,99.15611814345992,7,70,46.15%,"1,1,1,1,0,0,0,1,1,",1,20,23.08%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,23.08%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,23.08%,3,0.6666666666666667,46.15%,"3.0,0.0,0.0,;",13,182.86626307099615,46.15%
laurenjank,honors0,IH-Project-2017-laurenjank_webapp_phase3,Sun Nov 12 11:20:57 2017,0,0,,1,1,1,1,0,0,1,1,"jquery,",0.05217391304347826,94.78260869565217,7,70,34.62%,"0,1,1,1,1,0,0,1,1,",1,20,23.08%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,23.08%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,23.08%,0,0.0,0.0%,,10,177.82608695652175,34.62%
