username,hack id,repo name,time,climate dataset,extra dataset used,extra dataset list,google api,location,using JS,mashup,readme,good readme,chart,if use library,library list
mdecloedt,honors0,IH-Project-2017-mdecloedt_webapp_phase5,Wed Nov 22 08:30:39 2017,1,2,"Required Weather API, Zillow Home Value Searching API, ",1,1,1,0,1,1,1,1,"d3,angular,bootstrap,jquery,"
Jordan-Loeser,honors0,IH-Project-2017-Jordan-Loeser_webapp_phase5,Wed Nov 22 08:30:39 2017,1,2,"Required Weather API, Zillow Home Value Searching API, ",1,1,1,0,1,1,1,1,"react,d3,jquery,"
LukasMMarinovic,honors0,IH-Project-2017-LukasMMarinovic_webapp_phase5,Wed Nov 22 08:30:39 2017,1,1,"Required Weather API, ",1,0,1,1,0,0,1,1,"d3,animate,bootstrap,jquery,"
whipplem123,honors0,IH-Project-2017-whipplem123_webapp_phase5,Wed Nov 22 08:30:39 2017,0,1,"Zillow Home Value Searching API, ",1,1,1,1,1,1,1,1,"three,"
SionHu,honors0,IH-Project-2017-SionHu_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,0,0,1,0,0,0,1,0,
jmamaril25,honors0,IH-Project-2017-jmamaril25_webapp_phase5,Wed Nov 22 08:30:39 2017,1,5,"New York State Career Centers, NYCHA Development Data Book, Neighborhood Names GIS, New York City Museums, Required Weather API, ",1,1,1,1,1,1,1,1,"materialize,d3,jquery,"
lennwgs,honors0,IH-Project-2017-lennwgs_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,1,1,1,1,0,0,1,1,"bootstrap,"
viswapurdue,honors0,IH-Project-2017-viswapurdue_webapp_phase5,Wed Nov 22 08:30:39 2017,1,1,"Required Weather API, ",1,1,1,1,1,1,1,1,"d3,bootstrap,jquery,"
CampbellC2,honors0,IH-Project-2017-CampbellC2_webapp_phase5,Wed Nov 22 08:30:39 2017,1,1,"Required Weather API, ",1,1,1,1,0,0,1,1,"ember,animate,font-awesome,"
noah-curran,honors0,IH-Project-2017-noah-curran_webapp_phase5,Wed Nov 22 08:30:39 2017,1,2,"Required Weather API, New York neighborhood, ",1,1,1,0,1,1,1,1,"font-awesome,animate,"
laurenjank,honors0,IH-Project-2017-laurenjank_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,1,1,1,1,0,0,1,0,
bzin22,honors0,IH-Project-2017-bzin22_webapp_phase5,Wed Nov 22 08:30:39 2017,1,3,"Required Weather API, New York City Farmers Markets, Zillow Home Value Searching API, ",1,1,1,1,1,1,1,1,"materialize,animate,d3,jquery,"
